bacia,count
Acre,6
Alagoas,199
Almada,18
Amazonas,111
Araripe,1
Barreirinhas,55
Bragança - Vizeu,2
Camamu,46
Campos,498
Ceará,99
Cumuruxatiba,40
Espírito Santo,207
Foz do Amazonas,57
Jacuípe,1
Jatobá,2
Jequitinhonha,30
Marajó,15
Mucuri,14
Paraná,104
Parecis - Alto Xingu,2
Parnaíba,36
Pará - Maranhão,30
Pelotas,10
Pernambuco - Paraíba,2
Potiguar,537
Recôncavo,345
Rio do Peixe,3
Santos,167
Sergipe,306
Solimões,97
São Francisco,31
São Luís,13
Tacutu,2
Tucano Central,12
Tucano Norte,4
Tucano Sul,44
